User full name,Year,NoIP,Created,Deleted,Downloaded,Ended,Reset,Shown,Started,Submitted,Updated,Uploaded,Viewed,Holiday,Week 01,Week 02,Week 03,Week 04,Week 05,Week 06,Week 07,Week 08,Week 09,Week 10,Week 11,Week 12,Week 13,Week 14,Mean events,Max events,Min events,Total events,1st half sem,2nd half sem,Visit days,Events,Day events min,Day events max,Weekend days,Class days,Out days,Afternoon,Evening,Morning,Night,Class,Out,Frequency,Recency,T
9812,2019,21,3,,,1,,2,3,4,1,4,189,,5,12,2,4,6,56,5,,4,,10,41,32,30,17.25,56,2,207,90,117,27,207,2,28,3,9,19,101,28,13,65,67,140,26,100,102
9802,2019,12,3,,,1,,1,4,3,,3,200,,5,2,29,4,4,33,4,2,4,6,17,6,70,29,15.35714286,70,2,215,81,134,29,215,1,31,2,12,20,113,30,9,63,88,127,28,100,103
9787,2019,9,3,,,1,,1,3,3,,3,167,,16,5,1,7,3,47,9,4,3,3,9,6,44,24,12.92857143,47,1,181,88,93,24,181,1,26,5,12,12,83,29,1,68,82,99,23,100,103
9827,2019,13,5,,1,3,,3,3,6,1,6,217,,12,18,6,3,3,46,8,,3,3,3,67,34,39,18.84615385,67,3,245,96,149,31,245,1,28,1,13,21,95,38,14,98,92,153,30,97,100
9806,2019,35,3,,,1,,2,3,4,1,4,482,7,56,22,16,3,54,81,15,1,3,13,23,105,73,28,35.21428571,105,1,493,247,246,51,500,1,45,14,11,44,163,246,,91,105,395,50,103,103
9769,2019,14,3,,1,1,,1,1,3,,3,217,,31,17,17,8,6,3,5,3,7,,4,7,27,95,17.69230769,95,3,230,87,143,29,230,1,61,7,10,23,91,6,70,63,88,142,28,99,100
9803,2019,16,3,,,,,,2,3,,3,184,9,3,6,11,3,5,44,8,,2,2,20,30,35,17,14.30769231,44,2,186,80,106,29,195,1,23,4,11,20,21,97,3,74,63,132,28,96,101
9778,2019,21,3,,,1,,1,3,3,,3,171,3,6,25,2,3,4,58,6,,3,2,27,29,14,3,14,58,2,182,104,78,29,185,1,22,1,11,19,75,40,11,59,68,117,28,95,100
9751,2019,26,3,,1,2,,4,5,3,,3,338,,20,25,11,7,38,73,18,3,3,5,23,53,52,28,25.64285714,73,3,359,192,167,38,359,1,29,4,10,30,157,74,13,115,84,275,37,97,101
9833,2019,11,3,,,1,,1,3,3,,3,139,,7,26,4,3,6,39,9,3,,3,3,,44,6,12.75,44,3,153,94,59,22,153,1,28,4,11,14,12,111,11,19,82,71,21,100,104
